[24008:21264:0623/233701.767:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[24008:21516:0623/233701.964:ERROR:google_update_settings.cc(265)] Failed opening key Software\Chromium to set usagestats; result: 5
[24008:21264:0623/233702.005:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[8620:2360:0623/233741.468:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 5-69F2570263AFC18CC025AE979CCD653F will be ignored
[24008:6968:0624/002615.173:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000055CC000BED40}, {new_limit=73})
[24008:6968:0624/002616.178:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000055CC000BED40}, {new_limit=71})
[24008:6968:0624/002617.176:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000055CC000BED40}, {new_limit=70})
[24008:6968:0624/002618.187:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000055CC000BED40}, {new_limit=72})
[24008:6968:0624/002619.182:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000055CC000BED40}, {new_limit=73})
[24008:6968:0624/002620.191:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000055CC000BED40}, {new_limit=72})
[24008:6968:0624/002621.183:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000055CC000BED40}, {new_limit=74})
[24008:6968:0624/002622.191:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000055CC000BED40}, {new_limit=75})
[24008:6968:0624/002623.192:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000055CC000BED40}, {new_limit=76})
[24008:6968:0624/002626.186:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000055CC000BED40}, {new_limit=77})
[24008:6968:0624/002628.190:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000055CC000BED40}, {new_limit=76})
[24008:6968:0624/002629.203:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000055CC000BED40}, {new_limit=75})
[24008:6968:0624/002631.196:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000055CC000BED40}, {new_limit=74})
[24008:6968:0624/002632.201:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000055CC000BED40}, {new_limit=75})
[24008:6968:0624/002633.189:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000055CC000BED40}, {new_limit=74})
[24008:6968:0624/002638.194:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000055CC000BED40}, {new_limit=73})
[24008:6968:0624/002640.209:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000055CC000BED40}, {new_limit=74})
[24008:6968:0624/002641.199:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000055CC000BED40}, {new_limit=73})
[24008:6968:0624/002642.194:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000055CC000BED40}, {new_limit=72})
[24008:6968:0624/002643.212:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000055CC000BED40}, {new_limit=73})
[24008:6968:0624/002644.206:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=000055CC000BED40}, {new_limit=71})
